Band,Wavelength,RSR
B1,427,7.3E-05
B1,428,0.000609
B1,429,0.001628
B1,430,0.003421
B1,431,0.008019
B1,432,0.024767
B1,433,0.085688
B1,434,0.254149
B1,435,0.517821
B1,436,0.765117
B1,437,0.908749
B1,438,0.958204
B1,439,0.977393
B1,440,0.98379
B1,441,0.989052
B1,442,0.986713
B1,443,0.993683
B1,444,0.993137
B1,445,1
B1,446,0.996969
B1,447,0.98278
B1,448,0.972692
B1,449,0.905808
B1,450,0.745606
B1,451,0.471329
B1,452,0.226412
B1,453,0.09286
B1,454,0.036603
B1,455,0.014537
B1,456,0.005829
B1,457,0.002414
B1,458,0.000984
B1,459,0.000255
B2,436,1E-05
B2,437,6.1E-05
B2,438,0.000117
B2,439,0.000241
B2,440,0.000349
B2,441,0.000455
B2,442,0.000756
B2,443,0.001197
B2,444,0.00207
B2,445,0.003712
B2,446,0.006869
B2,447,0.013212
B2,448,0.02717
B2,449,0.058606
B2,450,0.130876
B2,451,0.27137
B2,452,0.493542
B2,453,0.723971
B2,454,0.85751
B2,455,0.894222
B2,456,0.903034
B2,457,0.910928
B2,458,0.90988
B2,459,0.899475
B2,460,0.897977
B2,461,0.889667
B2,462,0.883542
B2,463,0.877453
B2,464,0.881011
B2,465,0.874721
B2,466,0.879688
B2,467,0.886569
B2,468,0.891913
B2,469,0.88768
B2,470,0.861157
B2,471,0.848533
B2,472,0.840828
B2,473,0.828339
B2,474,0.844202
B2,475,0.865864
B2,476,0.868497
B2,477,0.890253
B2,478,0.912538
B2,479,0.910385
B2,480,0.918822
B2,481,0.931726
B2,482,0.931813
B2,483,0.954248
B2,484,0.955545
B2,485,0.96242
B2,486,0.956424
B2,487,0.953352
B2,488,0.978564
B2,489,0.989104
B2,490,0.985615
B2,491,0.989469
B2,492,0.982262
B2,493,0.968801
B2,494,0.967332
B2,495,0.976836
B2,496,0.988729
B2,497,0.980826
B2,498,0.967361
B2,499,0.954754
B2,500,0.964132
B2,501,0.966125
B2,502,0.966772
B2,503,0.981834
B2,504,0.98232
B2,505,0.965685
B2,506,0.963135
B2,507,0.972261
B2,508,0.996498
B2,509,1
B2,510,0.9556
B2,511,0.844893
B2,512,0.534592
B2,513,0.190738
B2,514,0.048329
B2,515,0.013894
B2,516,0.005328
B2,517,0.002611
B2,518,0.001557
B2,519,0.0011
B2,520,0.000785
B2,521,0.000516
B2,522,0.000321
B2,523,0.000162
B2,524,7.2E-05
B2,525,5.7E-05
B2,526,2.3E-05
B2,527,3.2E-05
B2,528,-1.6E-05
B3,512,-4.6E-05
B3,513,1.6E-05
B3,514,0.00011
B3,515,0.000247
B3,516,0.000362
B3,517,0.000648
B3,518,0.000935
B3,519,0.001332
B3,520,0.001816
B3,521,0.002515
B3,522,0.003446
B3,523,0.00488
B3,524,0.007024
B3,525,0.010441
B3,526,0.016247
B3,527,0.025513
B3,528,0.041451
B3,529,0.070551
B3,530,0.123444
B3,531,0.21168
B3,532,0.353885
B3,533,0.545856
B3,534,0.741205
B3,535,0.865225
B3,536,0.927396
B3,537,0.954627
B3,538,0.954163
B3,539,0.959215
B3,540,0.961328
B3,541,0.964902
B3,542,0.969873
B3,543,0.952489
B3,544,0.961397
B3,545,0.97827
B3,546,0.977533
B3,547,0.977001
B3,548,0.980884
B3,549,0.990784
B3,550,1
B3,551,0.992264
B3,552,0.982642
B3,553,0.983832
B3,554,0.977765
B3,555,0.965081
B3,556,0.957314
B3,557,0.946245
B3,558,0.947871
B3,559,0.959038
B3,560,0.966534
B3,561,0.977656
B3,562,0.966447
B3,563,0.953399
B3,564,0.958314
B3,565,0.970039
B3,566,0.978607
B3,567,0.983397
B3,568,0.98096
B3,569,0.974522
B3,570,0.967229
B3,571,0.979406
B3,572,0.978208
B3,573,0.975818
B3,574,0.974392
B3,575,0.979973
B3,576,0.968827
B3,577,0.969181
B3,578,0.967838
B3,579,0.982956
B3,580,0.979598
B3,581,0.963811
B3,582,0.968886
B3,583,0.983655
B3,584,0.986657
B3,585,0.974207
B3,586,0.946407
B3,587,0.904478
B3,588,0.809275
B3,589,0.684974
B3,590,0.525304
B3,591,0.345364
B3,592,0.190467
B3,593,0.087833
B3,594,0.035393
B3,595,0.014077
B3,596,0.005944
B3,597,0.002574
B3,598,0.001046
B3,599,0.000394
B3,600,8.5E-05
B3,601,-8.4E-05
B3,602,-0.000194
B3,603,-0.000234
B3,604,-0.000292
B3,605,-0.000307
B3,606,-0.000343
B3,607,-0.000348
B3,608,-0.000329
B3,609,-0.000351
B3,610,-0.000317
B4,625,-0.000342
B4,626,0.00027
B4,627,0.000895
B4,628,0.00185
B4,629,0.003648
B4,630,0.007197
B4,631,0.014515
B4,632,0.030432
B4,633,0.066861
B4,634,0.148518
B4,635,0.299778
B4,636,0.526812
B4,637,0.764443
B4,638,0.905473
B4,639,0.947949
B4,640,0.950823
B4,641,0.947418
B4,642,0.951831
B4,643,0.962705
B4,644,0.975075
B4,645,0.984173
B4,646,0.983613
B4,647,0.983434
B4,648,0.982911
B4,649,0.973636
B4,650,0.959441
B4,651,0.955641
B4,652,0.955548
B4,653,0.953337
B4,654,0.956628
B4,655,0.981688
B4,656,1
B4,657,0.992388
B4,658,0.984615
B4,659,0.981568
B4,660,0.97696
B4,661,0.97298
B4,662,0.98108
B4,663,0.996804
B4,664,0.992142
B4,665,0.980678
B4,666,0.964002
B4,667,0.962154
B4,668,0.970778
B4,669,0.96718
B4,670,0.966928
B4,671,0.949928
B4,672,0.848855
B4,673,0.609359
B4,674,0.31635
B4,675,0.123946
B4,676,0.046033
B4,677,0.017702
B4,678,0.007333
B4,679,0.003205
B4,680,0.001402
B4,681,0.000554
B4,682,0.000117
B4,683,-0.000122
B4,684,-0.000289
B4,685,-0.000376
B4,686,-0.000396
B4,687,-0.000458
B4,688,-0.000488
B4,689,-0.000457
B4,690,-0.000429
B4,691,-0.000417
B5,829,-3.4E-05
B5,830,1.1E-05
B5,831,5E-05
B5,832,0.0001
B5,833,0.000239
B5,834,0.000314
B5,835,0.000495
B5,836,0.000719
B5,837,0.000986
B5,838,0.001445
B5,839,0.002107
B5,840,0.00316
B5,841,0.004744
B5,842,0.007059
B5,843,0.0109
B5,844,0.017346
B5,845,0.028332
B5,846,0.048191
B5,847,0.084363
B5,848,0.145365
B5,849,0.249733
B5,850,0.403526
B5,851,0.582623
B5,852,0.745037
B5,853,0.890315
B5,854,0.960215
B5,855,0.986833
B5,856,0.973133
B5,857,0.980606
B5,858,0.99612
B5,859,1
B5,860,0.989777
B5,861,0.980733
B5,862,0.975935
B5,863,0.972043
B5,864,0.957357
B5,865,0.951209
B5,866,0.947044
B5,867,0.953162
B5,868,0.951499
B5,869,0.94845
B5,870,0.940094
B5,871,0.950632
B5,872,0.956079
B5,873,0.96646
B5,874,0.969821
B5,875,0.93661
B5,876,0.891066
B5,877,0.788733
B5,878,0.63532
B5,879,0.448364
B5,880,0.288847
B5,881,0.174619
B5,882,0.100343
B5,883,0.058265
B5,884,0.034532
B5,885,0.02072
B5,886,0.01244
B5,887,0.007601
B5,888,0.004702
B5,889,0.002944
B5,890,0.00187
B5,891,0.001192
B5,892,0.000743
B5,893,0.000423
B5,894,0.000241
B5,895,0.000116
B5,896,4.4E-05
B5,897,-1.3E-05
B5,898,-5E-05
B5,899,-8.4E-05
B5,900,-0.0001
B6,1515,-1.6E-05
B6,1516,6.7E-05
B6,1517,0.000151
B6,1518,0.000249
B6,1519,0.000348
B6,1520,0.000466
B6,1521,0.000585
B6,1522,0.000758
B6,1523,0.000932
B6,1524,0.00115
B6,1525,0.001369
B6,1526,0.001613
B6,1527,0.001859
B6,1528,0.002172
B6,1529,0.002488
B6,1530,0.002881
B6,1531,0.003277
B6,1532,0.003772
B6,1533,0.004271
B6,1534,0.004898
B6,1535,0.005528
B6,1536,0.006421
B6,1537,0.007319
B6,1538,0.008459
B6,1539,0.009606
B6,1540,0.010989
B6,1541,0.012372
B6,1542,0.014303
B6,1543,0.016248
B6,1544,0.019029
B6,1545,0.021831
B6,1546,0.02589
B6,1547,0.029952
B6,1548,0.035171
B6,1549,0.040434
B6,1550,0.047864
B6,1551,0.055352
B6,1552,0.065732
B6,1553,0.076166
B6,1554,0.089024
B6,1555,0.101893
B6,1556,0.12015
B6,1557,0.138642
B6,1558,0.163127
B6,1559,0.187803
B6,1560,0.220261
B6,1561,0.252894
B6,1562,0.291359
B6,1563,0.329939
B6,1564,0.375648
B6,1565,0.42147
B6,1566,0.47356
B6,1567,0.525681
B6,1568,0.578787
B6,1569,0.631645
B6,1570,0.676683
B6,1571,0.721282
B6,1572,0.75477
B6,1573,0.788248
B6,1574,0.821155
B6,1575,0.854065
B6,1576,0.87337
B6,1577,0.89183
B6,1578,0.899817
B6,1579,0.907252
B6,1580,0.913009
B6,1581,0.918685
B6,1582,0.922953
B6,1583,0.927163
B6,1584,0.92686
B6,1585,0.926413
B6,1586,0.925059
B6,1587,0.923683
B6,1588,0.923953
B6,1589,0.924259
B6,1590,0.922828
B6,1591,0.921383
B6,1592,0.922061
B6,1593,0.922756
B6,1594,0.924648
B6,1595,0.926605
B6,1596,0.934552
B6,1597,0.942525
B6,1598,0.944351
B6,1599,0.945872
B6,1600,0.946175
B6,1601,0.946432
B6,1602,0.947006
B6,1603,0.947589
B6,1604,0.950194
B6,1605,0.952859
B6,1606,0.951303
B6,1607,0.94967
B6,1608,0.953047
B6,1609,0.956494
B6,1610,0.959047
B6,1611,0.961545
B6,1612,0.960048
B6,1613,0.958335
B6,1614,0.959835
B6,1615,0.96147
B6,1616,0.960857
B6,1617,0.960175
B6,1618,0.960813
B6,1619,0.961486
B6,1620,0.964703
B6,1621,0.967943
B6,1622,0.969314
B6,1623,0.970589
B6,1624,0.973713
B6,1625,0.976906
B6,1626,0.9791
B6,1627,0.981258
B6,1628,0.981285
B6,1629,0.981372
B6,1630,0.988609
B6,1631,0.995869
B6,1632,0.998021
B6,1633,1
B6,1634,0.999848
B6,1635,0.999642
B6,1636,0.99659
B6,1637,0.993439
B6,1638,0.986217
B6,1639,0.978989
B6,1640,0.967125
B6,1641,0.95512
B6,1642,0.936199
B6,1643,0.917239
B6,1644,0.879424
B6,1645,0.840967
B6,1646,0.796545
B6,1647,0.751893
B6,1648,0.694313
B6,1649,0.636542
B6,1650,0.573232
B6,1651,0.509946
B6,1652,0.451966
B6,1653,0.39403
B6,1654,0.34275
B6,1655,0.291752
B6,1656,0.251309
B6,1657,0.211153
B6,1658,0.180823
B6,1659,0.15054
B6,1660,0.128463
B6,1661,0.106664
B6,1662,0.090735
B6,1663,0.074941
B6,1664,0.06379
B6,1665,0.052752
B6,1666,0.045028
B6,1667,0.03731
B6,1668,0.031821
B6,1669,0.02635
B6,1670,0.022504
B6,1671,0.018724
B6,1672,0.016045
B6,1673,0.013394
B6,1674,0.011483
B6,1675,0.009587
B6,1676,0.008227
B6,1677,0.006882
B6,1678,0.00591
B6,1679,0.00494
B6,1680,0.004257
B6,1681,0.003576
B6,1682,0.003055
B6,1683,0.002541
B6,1684,0.00216
B6,1685,0.001781
B6,1686,0.001512
B6,1687,0.001244
B6,1688,0.00104
B6,1689,0.000837
B6,1690,0.000677
B6,1691,0.000517
B6,1692,0.000409
B6,1693,0.000301
B6,1694,0.000206
B6,1695,0.000112
B6,1696,4E-05
B6,1697,-3.1E-05
B7,2037,-1E-05
B7,2038,3.7E-05
B7,2039,8.3E-05
B7,2040,0.000131
B7,2041,0.000179
B7,2042,0.00024
B7,2043,0.000305
B7,2044,0.000368
B7,2045,0.00043
B7,2046,0.000512
B7,2047,0.000599
B7,2048,0.000704
B7,2049,0.000814
B7,2050,0.000947
B7,2051,0.001085
B7,2052,0.001222
B7,2053,0.00136
B7,2054,0.001546
B7,2055,0.001745
B7,2056,0.001964
B7,2057,0.002187
B7,2058,0.002439
B7,2059,0.002696
B7,2060,0.00301
B7,2061,0.003339
B7,2062,0.003733
B7,2063,0.004141
B7,2064,0.004627
B7,2065,0.005137
B7,2066,0.005728
B7,2067,0.006337
B7,2068,0.007139
B7,2069,0.007996
B7,2070,0.008903
B7,2071,0.009824
B7,2072,0.011005
B7,2073,0.012261
B7,2074,0.01361
B7,2075,0.014987
B7,2076,0.016872
B7,2077,0.018899
B7,2078,0.021
B7,2079,0.023121
B7,2080,0.025897
B7,2081,0.028847
B7,2082,0.032071
B7,2083,0.035363
B7,2084,0.040206
B7,2085,0.045432
B7,2086,0.050903
B7,2087,0.056429
B7,2088,0.06327
B7,2089,0.070409
B7,2090,0.079382
B7,2091,0.088907
B7,2092,0.10064
B7,2093,0.11283
B7,2094,0.128292
B7,2095,0.144668
B7,2096,0.162055
B7,2097,0.179714
B7,2098,0.20278
B7,2099,0.227234
B7,2100,0.253732
B7,2101,0.280925
B7,2102,0.311347
B7,2103,0.342526
B7,2104,0.377044
B7,2105,0.412621
B7,2106,0.45047
B7,2107,0.488816
B7,2108,0.522458
B7,2109,0.554715
B7,2110,0.593227
B7,2111,0.633521
B7,2112,0.663067
B7,2113,0.689664
B7,2114,0.722284
B7,2115,0.756529
B7,2116,0.776463
B7,2117,0.792667
B7,2118,0.813716
B7,2119,0.836001
B7,2120,0.846344
B7,2121,0.853714
B7,2122,0.867845
B7,2123,0.883615
B7,2124,0.886411
B7,2125,0.886127
B7,2126,0.895232
B7,2127,0.906527
B7,2128,0.909739
B7,2129,0.911091
B7,2130,0.917985
B7,2131,0.926131
B7,2132,0.929693
B7,2133,0.932227
B7,2134,0.936544
B7,2135,0.941406
B7,2136,0.942571
B7,2137,0.942952
B7,2138,0.943112
B7,2139,0.943194
B7,2140,0.945168
B7,2141,0.947537
B7,2142,0.948776
B7,2143,0.949694
B7,2144,0.949643
B7,2145,0.9494
B7,2146,0.952551
B7,2147,0.956635
B7,2148,0.953083
B7,2149,0.947423
B7,2150,0.949094
B7,2151,0.952773
B7,2152,0.950874
B7,2153,0.947477
B7,2154,0.947014
B7,2155,0.947085
B7,2156,0.951812
B7,2157,0.957717
B7,2158,0.953332
B7,2159,0.946412
B7,2160,0.947778
B7,2161,0.951119
B7,2162,0.951641
B7,2163,0.951518
B7,2164,0.948644
B7,2165,0.944956
B7,2166,0.942515
B7,2167,0.940311
B7,2168,0.9434
B7,2169,0.947923
B7,2170,0.94501
B7,2171,0.940213
B7,2172,0.938737
B7,2173,0.93806
B7,2174,0.941859
B7,2175,0.947019
B7,2176,0.946554
B7,2177,0.944482
B7,2178,0.947414
B7,2179,0.951661
B7,2180,0.949283
B7,2181,0.945318
B7,2182,0.939939
B7,2183,0.934142
B7,2184,0.935493
B7,2185,0.93882
B7,2186,0.939253
B7,2187,0.938955
B7,2188,0.934675
B7,2189,0.929162
B7,2190,0.927085
B7,2191,0.925692
B7,2192,0.930508
B7,2193,0.936899
B7,2194,0.933908
B7,2195,0.927984
B7,2196,0.930981
B7,2197,0.936472
B7,2198,0.935776
B7,2199,0.933523
B7,2200,0.935132
B7,2201,0.937592
B7,2202,0.946217
B7,2203,0.956567
B7,2204,0.955661
B7,2205,0.951991
B7,2206,0.956666
B7,2207,0.963135
B7,2208,0.964442
B7,2209,0.964365
B7,2210,0.963523
B7,2211,0.962434
B7,2212,0.962905
B7,2213,0.963685
B7,2214,0.962473
B7,2215,0.960741
B7,2216,0.959239
B7,2217,0.957814
B7,2218,0.957781
B7,2219,0.958041
B7,2220,0.953274
B7,2221,0.94716
B7,2222,0.951706
B7,2223,0.958833
B7,2224,0.960212
B7,2225,0.960339
B7,2226,0.954785
B7,2227,0.947696
B7,2228,0.951965
B7,2229,0.95906
B7,2230,0.960554
B7,2231,0.960764
B7,2232,0.95575
B7,2233,0.949261
B7,2234,0.953245
B7,2235,0.95997
B7,2236,0.963736
B7,2237,0.966786
B7,2238,0.964315
B7,2239,0.960173
B7,2240,0.965473
B7,2241,0.973416
B7,2242,0.977637
B7,2243,0.980904
B7,2244,0.98276
B7,2245,0.984155
B7,2246,0.984693
B7,2247,0.985056
B7,2248,0.991486
B7,2249,0.9996
B7,2250,0.997654
B7,2251,0.993153
B7,2252,0.992469
B7,2253,0.992675
B7,2254,0.995894
B7,2255,1
B7,2256,0.999279
B7,2257,0.997261
B7,2258,0.994356
B7,2259,0.991127
B7,2260,0.987747
B7,2261,0.984349
B7,2262,0.986037
B7,2263,0.989132
B7,2264,0.984536
B7,2265,0.978024
B7,2266,0.975019
B7,2267,0.972794
B7,2268,0.974168
B7,2269,0.97654
B7,2270,0.976199
B7,2271,0.975206
B7,2272,0.974409
B7,2273,0.973662
B7,2274,0.967502
B7,2275,0.959895
B7,2276,0.956943
B7,2277,0.955095
B7,2278,0.955085
B7,2279,0.955588
B7,2280,0.947195
B7,2281,0.93665
B7,2282,0.922405
B7,2283,0.907109
B7,2284,0.89494
B7,2285,0.883588
B7,2286,0.855489
B7,2287,0.823876
B7,2288,0.78488
B7,2289,0.744025
B7,2290,0.69852
B7,2291,0.651673
B7,2292,0.602539
B7,2293,0.552647
B7,2294,0.502693
B7,2295,0.452698
B7,2296,0.403993
B7,2297,0.355569
B7,2298,0.315712
B7,2299,0.27826
B7,2300,0.244645
B7,2301,0.212213
B7,2302,0.186151
B7,2303,0.161749
B7,2304,0.141435
B7,2305,0.122015
B7,2306,0.106531
B7,2307,0.092029
B7,2308,0.080268
B7,2309,0.069276
B7,2310,0.060703
B7,2311,0.052702
B7,2312,0.046332
B7,2313,0.040405
B7,2314,0.035634
B7,2315,0.031213
B7,2316,0.027516
B7,2317,0.024
B7,2318,0.021262
B7,2319,0.018688
B7,2320,0.016562
B7,2321,0.014545
B7,2322,0.01293
B7,2323,0.011426
B7,2324,0.010155
B7,2325,0.008959
B7,2326,0.007992
B7,2327,0.007088
B7,2328,0.006348
B7,2329,0.005643
B7,2330,0.005019
B7,2331,0.004415
B7,2332,0.003903
B7,2333,0.003421
B7,2334,0.003025
B7,2335,0.002651
B7,2336,0.00234
B7,2337,0.002047
B7,2338,0.001795
B7,2339,0.001554
B7,2340,0.001345
B7,2341,0.001145
B7,2342,0.000974
B7,2343,0.000811
B7,2344,0.00068
B7,2345,0.00056
B7,2346,0.00044
B7,2347,0.00032
B7,2348,0.000217
B7,2349,0.000119
B7,2350,2.8E-05
B7,2351,-6.2E-05
B7,2352,-0.000134
B7,2353,-0.000202
B7,2354,-0.000263
B7,2355,-0.000322
B8,488,0.000216
B8,489,0.000514
B8,490,0.001013
B8,491,0.001587
B8,492,0.002619
B8,493,0.003841
B8,494,0.006195
B8,495,0.009003
B8,496,0.015515
B8,497,0.02327
B8,498,0.042723
B8,499,0.066556
B8,500,0.124269
B8,501,0.196006
B8,502,0.323232
B8,503,0.472496
B8,504,0.598302
B8,505,0.714816
B8,506,0.776009
B8,507,0.816555
B8,508,0.831881
B8,509,0.837994
B8,510,0.848975
B8,511,0.861668
B8,512,0.862705
B8,513,0.85964
B8,514,0.858532
B8,515,0.858244
B8,516,0.857148
B8,517,0.855759
B8,518,0.858455
B8,519,0.862834
B8,520,0.860609
B8,521,0.855993
B8,522,0.852785
B8,523,0.850183
B8,524,0.852788
B8,525,0.857317
B8,526,0.85913
B8,527,0.859876
B8,528,0.861508
B8,529,0.863494
B8,530,0.860265
B8,531,0.855102
B8,532,0.864423
B8,533,0.879249
B8,534,0.885593
B8,535,0.888663
B8,536,0.894758
B8,537,0.902017
B8,538,0.906294
B8,539,0.90929
B8,540,0.911734
B8,541,0.914
B8,542,0.909776
B8,543,0.902939
B8,544,0.908919
B8,545,0.919859
B8,546,0.92162
B8,547,0.919456
B8,548,0.91302
B8,549,0.905134
B8,550,0.892702
B8,551,0.878599
B8,552,0.876838
B8,553,0.879443
B8,554,0.878303
B8,555,0.875692
B8,556,0.872666
B8,557,0.869478
B8,558,0.875361
B8,559,0.884759
B8,560,0.889903
B8,561,0.893427
B8,562,0.885948
B8,563,0.874097
B8,564,0.875674
B8,565,0.882402
B8,566,0.891375
B8,567,0.901194
B8,568,0.903528
B8,569,0.902826
B8,570,0.907551
B8,571,0.91435
B8,572,0.914932
B8,573,0.91319
B8,574,0.915508
B8,575,0.919554
B8,576,0.920802
B8,577,0.92104
B8,578,0.924431
B8,579,0.929105
B8,580,0.930068
B8,581,0.929551
B8,582,0.937549
B8,583,0.948863
B8,584,0.947084
B8,585,0.940273
B8,586,0.940813
B8,587,0.944136
B8,588,0.945674
B8,589,0.946566
B8,590,0.942462
B8,591,0.936298
B8,592,0.939621
B8,593,0.946659
B8,594,0.942374
B8,595,0.933839
B8,596,0.93425
B8,597,0.93784
B8,598,0.940838
B8,599,0.943626
B8,600,0.952415
B8,601,0.963664
B8,602,0.967381
B8,603,0.968241
B8,604,0.968233
B8,605,0.967878
B8,606,0.965083
B8,607,0.961367
B8,608,0.957232
B8,609,0.952939
B8,610,0.949345
B8,611,0.946006
B8,612,0.948081
B8,613,0.952465
B8,614,0.954526
B8,615,0.955814
B8,616,0.959149
B8,617,0.963216
B8,618,0.964158
B8,619,0.963953
B8,620,0.965943
B8,621,0.968789
B8,622,0.972688
B8,623,0.977026
B8,624,0.978028
B8,625,0.977901
B8,626,0.974158
B8,627,0.969078
B8,628,0.969583
B8,629,0.972297
B8,630,0.972906
B8,631,0.972708
B8,632,0.969732
B8,633,0.96578
B8,634,0.965561
B8,635,0.966835
B8,636,0.966641
B8,637,0.965899
B8,638,0.972067
B8,639,0.981077
B8,640,0.980971
B8,641,0.977722
B8,642,0.974405
B8,643,0.971123
B8,644,0.963139
B8,645,0.95326
B8,646,0.953494
B8,647,0.957536
B8,648,0.963851
B8,649,0.970928
B8,650,0.969453
B8,651,0.96475
B8,652,0.966541
B8,653,0.970613
B8,654,0.973941
B8,655,0.977055
B8,656,0.982894
B8,657,0.98977
B8,658,0.988302
B8,659,0.983542
B8,660,0.987968
B8,661,0.995538
B8,662,0.998579
B8,663,1
B8,664,0.99981
B8,665,0.999061
B8,666,0.997891
B8,667,0.99658
B8,668,0.992555
B8,669,0.987369
B8,670,0.985862
B8,671,0.985761
B8,672,0.955679
B8,673,0.913945
B8,674,0.78014
B8,675,0.610197
B8,676,0.438556
B8,677,0.266714
B8,678,0.167313
B8,679,0.094013
B8,680,0.057564
B8,681,0.034787
B8,682,0.022882
B8,683,0.015178
B8,684,0.010755
B8,685,0.007663
B8,686,0.005756
B8,687,0.004292
B8,688,0.00322
B8,689,0.002283
B8,690,0.001545
B8,691,0.000879
B8,692,0.000214
B9,1340,-3E-06
B9,1341,8.6E-05
B9,1342,0.000194
B9,1343,0.000321
B9,1344,0.000469
B9,1345,0.000647
B9,1346,0.000856
B9,1347,0.001119
B9,1348,0.001429
B9,1349,0.001828
B9,1350,0.002318
B9,1351,0.00303
B9,1352,0.004011
B9,1353,0.005398
B9,1354,0.007194
B9,1355,0.011124
B9,1356,0.016985
B9,1357,0.026321
B9,1358,0.042756
B9,1359,0.06922
B9,1360,0.115351
B9,1361,0.182833
B9,1362,0.316333
B9,1363,0.45703
B9,1364,0.596852
B9,1365,0.772118
B9,1366,0.862394
B9,1367,0.871575
B9,1368,0.930308
B9,1369,0.962664
B9,1370,0.931247
B9,1371,0.938676
B9,1372,0.983748
B9,1373,0.999626
B9,1374,0.986968
B9,1375,1
B9,1376,0.983239
B9,1377,0.990577
B9,1378,0.963584
B9,1379,0.964054
B9,1380,0.871343
B9,1381,0.872689
B9,1382,0.703198
B9,1383,0.606578
B9,1384,0.452434
B9,1385,0.29792
B9,1386,0.190978
B9,1387,0.113055
B9,1388,0.066174
B9,1389,0.041513
B9,1390,0.026084
B9,1391,0.016218
B9,1392,0.009774
B9,1393,0.006839
B9,1394,0.004358
B9,1395,0.00278
B9,1396,0.001809
B9,1397,0.001351
B9,1398,0.000887
B9,1399,0.000481
B9,1400,0.00022
B9,1401,0.000114
B9,1402,2.9E-05
B9,1403,-7E-05
B9,1404,-0.000178
B9,1405,-0.000182
B9,1406,-0.000238
B9,1407,-0.000272
B9,1408,-0.000296
B9,1409,-0.000308
